video_title,Name,publish_date,duration,total_views,total_likes,total_comment
Meet Tech Burner Shlok Srivastava | Episode 55,Tech Burner Shlok Srivastava,2022-11-04,00:16:18,3682785,267062,11104
Meet Dear Sir | Episode 56,Dear Sir,2022-11-09,00:14:20,1797227,119065,7303
Meet Josh Talks Founders | Episode 57,Josh Talks Founders,2022-11-11,00:19:11,1474526,85075,4726
Meet Civil Beings Sagar Dodeja | Episode 58,Civil Beings Sagar Dodeja,2022-11-14,00:14:06,854129,54759,3580
Meet Science and Fun Ashu Ghai | Episode 59,Science and Fun Ashu Ghai,2022-11-16,00:14:12,3111252,215027,8534
Meet Mister Proton | Episode 60,Mister Proton,2022-11-18,00:14:48,856294,63184,4257
Meet Love Birds Amrita Rao & RJ Anmol | Episode 61,Love Birds Amrita Rao & RJ Anmol,2022-11-20,00:23:12,4934403,248184,7376
Meet Ritesh Agarwal OYO Founder | Episode 62,Ritesh Agarwal OYO Founder,2022-11-23,00:20:03,2692257,162635,6785
Meet Chetna Vasishth | Episode 63,Chetna Vasishth,2022-11-25,00:16:38,1169284,68473,4158
Meet RiderGirl Vishakha | Episode 64,RiderGirl Vishakha,2022-11-28,00:13:37,945280,54050,3547
Meet Nitish Rajput | Episode 65,Nitish Rajput,2022-11-30,00:14:01,1623370,101580,6096
Meet Harshvardhan Jain | Episode 66,Harshvardhan Jain,2022-12-02,00:16:32,3475143,234872,10736
Meet Swami Mukundananda | Episode 67,Swami Mukundananda,2022-12-06,00:19:54,2031787,136344,9529
Meet Paayal Jain & Tena Jain | Episode 68,Paayal Jain & Tena Jain,2022-12-09,00:14:51,3584609,150579,5438
Meet Google Boy Kautilya Pandit | Episode 69,Google Boy Kautilya Pandit,2022-12-12,00:14:32,6373492,388045,12545
Meet Avadh Ojha Sir | Episode 70,Avadh Ojha Sir,2022-12-15,00:25:39,6905321,473494,26864
Meet Wonder Girl Janhavi | Episode 71,Wonder Girl Janhavi,2022-12-19,00:13:32,2354773,117322,5933
Meet Crazy XYZ Amit Sharma | Episode 72,Crazy XYZ Amit Sharma,2022-12-24,00:14:19,2900522,217080,7976
Meet Ghazal Alagh Mamaearth Founder | Episode 73,Ghazal Alagh Mamaearth Founder,2022-12-26,00:24:21,2281408,104365,6684
Meet Ankush Sachdeva ShareChat Founder | Episode 74,Ankush Sachdeva ShareChat Founder,2022-12-30,00:19:41,744225,41420,3364
Meet SidTalk Siddhant Jain | Episode 75,SidTalk Siddhant Jain,2023-01-04,00:16:12,597521,38157,2544
Meet Olympia Winner Anand Arnold | Episode 76,Olympia Winner Anand Arnold,2023-01-06,00:17:31,468974,47579,2908
Meet Ridhima Arora Namhya Foods Founder | Episode 77,Ridhima Arora Namhya Foods Founder,2023-01-10,00:17:20,730348,35226,2471
Meet Shradha Sharma YourStory Founder | Episode 78,Shradha Sharma YourStory Founder,2023-01-12,00:21:55,597991,33351,2620
Meet Entrepreneur Pramod Raj Shukla | Episode 79,Entrepreneur Pramod Raj Shukla,2023-01-16,00:22:16,522231,27875,4796
Meet Groww Founder Lalit Keshre | Episode 80,Groww Founder Lalit Keshre,2023-01-19,00:16:45,605815,32431,3840
Meet Raft Motors Founders | Episode 81,Raft Motors Founders,2023-01-25,00:26:29,371269,20934,2787
